text_id,journal,volume_issue,set,han_chars
JOD_27-4_1626,JOD,27-4,human_2018_2022,11334
JOD_27-4_1706,JOD,27-4,human_2018_2022,8654
JOD_27-4_1676,JOD,27-4,human_2018_2022,17092
JOD_27-4_1709,JOD,27-4,human_2018_2022,13581
JOD_27-3_1667,JOD,27-3,human_2018_2022,18492
JOD_27-3_1671,JOD,27-3,human_2018_2022,10904
JOD_27-3_1683,JOD,27-3,human_2018_2022,12351
JOD_27-3_1695,JOD,27-3,human_2018_2022,13004
JOD_27-2_1684,JOD,27-2,human_2018_2022,6484
JOD_27-2_1627,JOD,27-2,human_2018_2022,8282
JOD_27-2_1664,JOD,27-2,human_2018_2022,15554
JOD_27-2_1643,JOD,27-2,human_2018_2022,17934
JOD_27-1_1641,JOD,27-1,human_2018_2022,16820
JOD_27-1_1631,JOD,27-1,human_2018_2022,12302
JOD_27-1_1620,JOD,27-1,human_2018_2022,15926
JOD_27-1_1611,JOD,27-1,human_2018_2022,7260
JOD_26-4_1600,JOD,26-4,human_2018_2022,16154
JOD_26-4_1613,JOD,26-4,human_2018_2022,10973
JOD_26-4_1607,JOD,26-4,human_2018_2022,13305
JOD_26-4_1604,JOD,26-4,human_2018_2022,9524
JOD_26-3_1456,JOD,26-3,human_2018_2022,11389
JOD_26-3_1552,JOD,26-3,human_2018_2022,9036
JOD_26-3_1581,JOD,26-3,human_2018_2022,15144
JOD_26-3_1598,JOD,26-3,human_2018_2022,12752
JOD_26-2_1575,JOD,26-2,human_2018_2022,13610
JOD_26-2_1577,JOD,26-2,human_2018_2022,12858
JOD_26-2_1559,JOD,26-2,human_2018_2022,7406
JOD_26-2_1565,JOD,26-2,human_2018_2022,15987
JOD_26-2_1547,JOD,26-2,human_2018_2022,11218
JOD_26-2_1560,JOD,26-2,human_2018_2022,15802
JOD_26-1_1461,JOD,26-1,human_2018_2022,13005
JOD_26-1_1534,JOD,26-1,human_2018_2022,12880
JOD_26-1_1610,JOD,26-1,human_2018_2022,12185
JOD_25-4_1472,JOD,25-4,human_2018_2022,14884
JOD_25-4_1542,JOD,25-4,human_2018_2022,15173
