text_id,set,model,prompt,temperature,han_chars,additive_transition,contrastive_restatement,frame_marker,code_gloss,evidential,perspective_frame,booster,attitude_marker,hedge,self_mention
JOD_27-4_1626,human_2018_2022,,,,11334,1,0,9,0,1,0,1,2,29,30
JOD_27-4_1706,human_2018_2022,,,,8654,5,0,1,0,3,0,0,0,5,13
JOD_27-4_1676,human_2018_2022,,,,17092,1,2,1,3,0,0,0,0,14,64
JOD_27-4_1709,human_2018_2022,,,,13581,3,0,1,0,0,0,1,0,8,52
JOD_27-3_1667,human_2018_2022,,,,18492,4,0,1,0,0,0,0,0,13,61
JOD_27-3_1671,human_2018_2022,,,,10904,3,0,1,1,0,0,2,0,3,43
JOD_27-3_1683,human_2018_2022,,,,12351,1,0,2,2,1,0,3,0,4,36
JOD_27-3_1695,human_2018_2022,,,,13004,1,2,5,0,0,0,1,0,15,36
JOD_27-2_1684,human_2018_2022,,,,6484,0,0,0,0,0,1,0,0,4,25
JOD_27-2_1627,human_2018_2022,,,,8282,0,0,0,0,0,0,0,0,15,18
JOD_27-2_1664,human_2018_2022,,,,15554,0,1,0,7,0,0,0,0,19,34
JOD_27-2_1643,human_2018_2022,,,,17934,6,4,2,20,0,0,8,0,32,27
JOD_27-1_1641,human_2018_2022,,,,16820,0,0,0,4,15,0,0,0,25,43
JOD_27-1_1631,human_2018_2022,,,,12302,2,1,1,1,0,1,0,0,22,27
JOD_27-1_1620,human_2018_2022,,,,15926,0,0,0,0,2,0,0,0,19,66
JOD_27-1_1611,human_2018_2022,,,,7260,1,0,0,0,0,0,0,0,0,4
JOD_26-4_1600,human_2018_2022,,,,16154,5,1,0,0,1,10,1,2,29,43
JOD_26-4_1613,human_2018_2022,,,,10973,2,0,0,4,1,0,4,0,13,39
JOD_26-4_1607,human_2018_2022,,,,13305,1,2,2,0,0,0,0,0,9,43
JOD_26-4_1604,human_2018_2022,,,,9524,1,0,0,0,0,0,0,0,2,33
JOD_26-3_1456,human_2018_2022,,,,11389,0,0,1,0,0,0,2,0,6,20
JOD_26-3_1552,human_2018_2022,,,,9036,1,0,0,0,1,0,0,0,0,43
JOD_26-3_1581,human_2018_2022,,,,15144,2,0,0,2,0,1,3,0,25,30
JOD_26-3_1598,human_2018_2022,,,,12752,0,0,4,0,1,0,1,0,9,16
JOD_26-2_1575,human_2018_2022,,,,13610,3,0,0,0,0,0,0,0,9,28
JOD_26-2_1577,human_2018_2022,,,,12858,3,0,3,0,0,0,0,0,2,15
JOD_26-2_1559,human_2018_2022,,,,7406,0,0,0,0,2,0,1,0,3,23
JOD_26-2_1565,human_2018_2022,,,,15987,0,0,2,0,1,0,0,1,15,61
