marker,category,per15k_human_2018_2022,per15k_human_2024_2026,per15k_machine,irr_machine_vs_human,irr_ci_low,irr_ci_high,q,bf01,loo_robust
累加轉折,interactive,1.8,4.7,15.2,8.22,5.36,12.61,0.0000,0.00,yes
引據標記,interactive,0.6,0.9,3.6,6.71,3.20,14.07,0.0000,0.00,yes
視角框架,interactive,0.5,1.3,3.9,6.79,3.39,13.61,0.0000,0.00,yes
語碼註解,interactive,2.1,6.5,9.2,4.29,1.21,15.18,0.0400,0.13,no
對比重述,interactive,1.1,1.9,3.7,3.40,1.89,6.13,0.0001,0.00,no
框架標記,interactive,1.4,1.3,3.3,2.62,1.41,4.86,0.0045,0.11,no
自稱,interactional,,,,1.00,0.41,2.45,0.9987,14.76,
強調語,interactional,,,,0.62,0.22,1.79,0.4754,8.96,
態度標記,interactional,,,,0.00,,,0.9987,3.47,
模糊限制,interactional,,,,0.67,0.28,1.61,0.4754,1.65,
